"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"F_1977" "F_1977" 0.559832 0.0737175 -5.97102 1.18304e-09
"F_1978" "F_1978" 1.04309 0.113709 0.378982 0.647649
"F_1979" "F_1979" 0.99216 0.113979 -0.0687841 0.472581
"F_1980" "F_1980" 0.627096 0.0623918 -5.97681 1.14173e-09
"F_1981" "F_1981" 1.15748 0.0970034 1.62341 0.947749
"F_1982" "F_1982" 1.40135 0.136271 2.9452 0.998386
"F_1983" "F_1983" 0.96001 0.103321 -0.387043 0.349362
"F_1984" "F_1984" 1.04051 0.106457 0.380502 0.648214
"F_1985" "F_1985" 1.04298 0.102959 0.417408 0.66181
"F_1986" "F_1986" 1.12357 0.118641 1.04151 0.85118
"F_1987" "F_1987" 1.36096 0.201982 1.78708 0.963038
"F_1988" "F_1988" 1.76718 0.32691 2.34677 0.990531
"F_1989" "F_1989" 2.01947 0.375422 2.71553 0.996691
"F_1990" "F_1990" 1.35504 0.223019 1.59198 0.944305
"F_1991" "F_1991" 1.20038 0.204105 0.98177 0.836893
"F_1992" "F_1992" 0.933349 0.162064 -0.411262 0.34044
"F_1993" "F_1993" 1.12049 0.219442 0.549069 0.708521
"F_1994" "F_1994" 1.73772 0.326606 2.25873 0.98805
"F_1995" "F_1995" 1.56271 0.284652 1.97683 0.97597
"F_1996" "F_1996" 1.38015 0.238182 1.59603 0.944759
"F_1997" "F_1997" 1.27345 0.205478 1.33081 0.908375
"F_1998" "F_1998" 1.57919 0.223263 2.5942 0.995259
"F_1999" "F_1999" 1.24717 0.161683 1.52875 0.936836
"F_2000" "F_2000" 0.895276 0.111163 -0.942075 0.173077
"F_2001" "F_2001" 0.786692 0.090895 -2.34675 0.00946901
"F_2002" "F_2002" 0.826777 0.0875181 -1.97928 0.0238919
"F_2003" "F_2003" 1.15082 0.11188 1.34802 0.911174
"F_2004" "F_2004" 1.09306 0.104846 0.887555 0.81261
"F_2005" "F_2005" 1.02267 0.115874 0.195631 0.57755
"F_2006" "F_2006" 0.957631 0.123171 -0.343989 0.365428
"F_2007" "F_2007" 0.864476 0.110368 -1.22792 0.109738
"F_2008" "F_2008" 0.902216 0.108809 -0.898682 0.184411
"F_2009" "F_2009" 0.862992 0.0929139 -1.47457 0.070164
"F_2010" "F_2010" 0.967193 0.0971097 -0.337831 0.367745
"F_2011" "F_2011" 1.27601 0.126308 2.18523 0.985564
"F_2012" "F_2012" 1.5345 0.164706 3.24515 0.999413
"F_2013" "F_2013" 1.33436 0.163562 2.04424 0.979535
"F_2014" "F_2014" 1.6709 0.191334 3.50642 0.999773
"F_2015" "F_2015" 1.72622 0.222657 3.2616 0.999446
"F_2016" "F_2016" 1.47275 0.214567 2.20328 0.986213
"F_2017" "F_2017" 1.15367 0.153162 1.00331 0.842145
"F_2018" "F_2018" 1.34845 0.165048 2.11121 0.982623
"F_2019" "F_2019" 1.46619 0.202696 2.29993 0.989274
"F_2020" "F_2020" 1.47146 0.267799 1.76051 0.960839
"F_2021" "F_2021" 1.43007 0.31662 1.35832 0.912819
"F_2022" "F_2022" 0.855692 0.202697 -0.711937 0.238252
"F_2023" "F_2023" 0.855692 0.202697 -0.711937 0.238252
"Bratio_1953" "Bratio_1953" 7.57812 1.23003 5.34795 1
"Bratio_1954" "Bratio_1954" 6.95941 1.01533 5.86944 1
"Bratio_1955" "Bratio_1955" 4.7295 0.7831 4.76248 0.999999
"Bratio_1956" "Bratio_1956" 3.91579 0.657254 4.43632 0.999995
"Bratio_1957" "Bratio_1957" 3.26825 0.558233 4.06328 0.999976
"Bratio_1958" "Bratio_1958" 2.77273 0.477486 3.71264 0.999897
"Bratio_1959" "Bratio_1959" 2.10575 0.404245 2.73535 0.996884
"Bratio_1960" "Bratio_1960" 2.13211 0.440291 2.57128 0.994934
"Bratio_1961" "Bratio_1961" 2.32317 0.488296 2.70978 0.996634
"Bratio_1962" "Bratio_1962" 1.95083 0.435257 2.18452 0.985538
"Bratio_1963" "Bratio_1963" 1.88899 0.396423 2.24252 0.987536
"Bratio_1964" "Bratio_1964" 1.51435 0.348721 1.47496 0.929889
"Bratio_1965" "Bratio_1965" 1.51519 0.341008 1.51078 0.934577
"Bratio_1966" "Bratio_1966" 1.46324 0.310488 1.49198 0.932148
"Bratio_1967" "Bratio_1967" 1.22105 0.252037 0.877068 0.809775
"Bratio_1968" "Bratio_1968" 1.14185 0.195274 0.726398 0.766203
"Bratio_1969" "Bratio_1969" 1.01735 0.140136 0.123787 0.549258
"Bratio_1970" "Bratio_1970" 0.939957 0.1078 -0.556981 0.28877
"Bratio_1971" "Bratio_1971" 0.724105 0.0795087 -3.47 0.000260275
"Bratio_1972" "Bratio_1972" 0.697305 0.0845732 -3.57908 0.000172438
"Bratio_1973" "Bratio_1973" 0.795257 0.102695 -1.9937 0.0230925
"Bratio_1974" "Bratio_1974" 0.737565 0.105778 -2.481 0.00655076
"Bratio_1975" "Bratio_1975" 0.738332 0.122483 -2.13636 0.0163251
"Bratio_1976" "Bratio_1976" 1.03707 0.148534 0.249579 0.598543
"Bratio_1977" "Bratio_1977" 0.875013 0.137084 -0.911754 0.180949
"Bratio_1978" "Bratio_1978" 0.885344 0.129353 -0.886377 0.187707
"Bratio_1979" "Bratio_1979" 0.89369 0.12012 -0.885033 0.188069
"Bratio_1980" "Bratio_1980" 0.973815 0.125454 -0.208724 0.417332
"Bratio_1981" "Bratio_1981" 1.31508 0.129587 2.43141 0.99248
"Bratio_1982" "Bratio_1982" 1.13781 0.115777 1.19026 0.883029
"Bratio_1983" "Bratio_1983" 0.918302 0.107715 -0.758463 0.224087
"Bratio_1984" "Bratio_1984" 0.861292 0.104052 -1.33307 0.091255
"Bratio_1985" "Bratio_1985" 0.892412 0.102294 -1.05175 0.146457
"Bratio_1986" "Bratio_1986" 0.765436 0.0932614 -2.51512 0.00594959
"Bratio_1987" "Bratio_1987" 0.597306 0.083008 -4.85126 6.1422e-07
