Fleet,Length,Sel
4,34.5,2.33311e-09
5,34.5,2.33311e-09
6,34.5,2.34276e-09
7,34.5,2.32697e-09
8,34.5,2.32697e-09
9,34.5,2.32191e-09
10,34.5,3.08662e-12
11,34.5,5.06556e-09
12,34.5,2.32477e-09
13,34.5,2.31751e-09
14,34.5,2.33311e-09
15,34.5,2.32477e-09
16,34.5,2.3188e-09
17,34.5,4.54573e-08
18,34.5,0.000353613
19,34.5,2.35203e-09
20,34.5,2.34276e-09
1,35.5,5.89551e-09
2,35.5,2.32647e-09
3,35.5,2.31911e-09
4,35.5,2.33585e-09
5,35.5,2.33585e-09
6,35.5,2.3447e-09
7,35.5,2.32869e-09
8,35.5,2.32869e-09
9,35.5,2.32357e-09
10,35.5,3.6056e-12
11,35.5,5.89551e-09
12,35.5,2.32647e-09
13,35.5,2.31911e-09
14,35.5,2.33585e-09
15,35.5,2.32647e-09
16,35.5,2.32042e-09
17,35.5,5.56402e-08
18,35.5,0.000385162
19,35.5,2.35409e-09
20,35.5,2.3447e-09
1,36.5,6.97025e-09
2,36.5,2.32819e-09
3,36.5,2.32074e-09
4,36.5,2.33899e-09
5,36.5,2.33899e-09
6,36.5,2.34666e-09
7,36.5,2.33044e-09
8,36.5,2.33044e-09
9,36.5,2.32525e-09
10,36.5,4.21184e-12
11,36.5,6.97025e-09
12,36.5,2.32819e-09
13,36.5,2.32074e-09
14,36.5,2.33899e-09
15,36.5,2.32819e-09
16,36.5,2.32206e-09
17,36.5,6.81391e-08
18,36.5,0.000419331
19,36.5,2.35619e-09
20,36.5,2.34666e-09
1,37.5,8.35957e-09
2,37.5,2.32992e-09
3,37.5,2.32238e-09
4,37.5,2.34266e-09
5,37.5,2.34266e-09
6,37.5,2.34865e-09
7,37.5,2.33221e-09
8,37.5,2.33221e-09
9,37.5,2.32695e-09
10,37.5,4.92001e-12
11,37.5,8.35957e-09
12,37.5,2.32992e-09
13,37.5,2.32238e-09
14,37.5,2.34266e-09
15,37.5,2.32992e-09
16,37.5,2.32372e-09
17,37.5,8.34598e-08
18,37.5,0.000456321
19,37.5,2.35831e-09
20,37.5,2.34865e-09
1,38.5,1.01524e-08
2,38.5,2.33169e-09
3,38.5,2.32404e-09
4,38.5,2.34705e-09
5,38.5,2.34705e-09
6,38.5,2.35066e-09
7,38.5,2.334e-09
8,38.5,2.334e-09
9,38.5,2.32868e-09
10,38.5,5.74725e-12
11,38.5,1.01524e-08
12,38.5,2.33169e-09
13,38.5,2.32404e-09
14,38.5,2.34705e-09
15,38.5,2.33169e-09
16,38.5,2.3254e-09
17,38.5,1.02214e-07
18,38.5,0.000496345
19,38.5,2.36047e-09
20,38.5,2.35066e-09
1,39.5,1.24617e-08
2,39.5,2.33347e-09
3,39.5,2.32573e-09
4,39.5,2.35241e-09
5,39.5,2.35241e-09
6,39.5,2.35271e-09
7,39.5,2.33581e-09
8,39.5,2.33581e-09
9,39.5,2.33042e-09
10,39.5,6.71358e-12
11,39.5,1.24617e-08
12,39.5,2.33347e-09
13,39.5,2.32573e-09
14,39.5,2.35241e-09
15,39.5,2.33347e-09
16,39.5,2.32711e-09
17,39.5,1.25139e-07
18,39.5,0.000539629
19,39.5,2.36265e-09
20,39.5,2.35271e-09
1,40.5,1.5431e-08
2,40.5,2.33528e-09
3,40.5,2.32744e-09
4,40.5,2.35908e-09
5,40.5,2.35908e-09
6,40.5,2.35478e-09
